#Column	separation	(F9.2)	Distance from master source to user source	(.separation)	["arcsec"]	[pos.angDistance]
#Column	name	(A22)	Source name in the format '2CXO Jhhmmss.s{+|-}ddmmss[X]'	(master_source.name)	[""]	[]
#Column	ra	(A12)	Source position, ICRS right ascension	(master_source.ra)	[""]	[pos.eq.ra;meta.main]
#Column	dec	(A11)	Source position, ICRS declination	(master_source.dec)	[""]	[pos.eq.dec;meta.main]
#Column	err_ellipse_r0	(F9.2)	Major radius of the 95% confidence level position error ellipse	(master_source.err_ellipse_r0)	["arcsec"]	[]
#Column	err_ellipse_r1	(F9.2)	Minor radius of the 95% confidence level position error ellipse	(master_source.err_ellipse_r1)	["arcsec"]	[]
#Column	err_ellipse_ang	(F9.1)	Position angle (ref. local true north) of the major axis of the 95% confidence level error ellipse	(master_source.err_ellipse_ang)	["deg"]	[]
#Column	significance	(F9.2)	Highest flux significance (S/N) across all stacked observations and energy bands	(master_source.significance)	[""]	[]
#Column	likelihood_class	(A20)	Highest detection likelihood classification across all stacked observations and energy bands	(master_source.likelihood_class)	[""]	[]
#Column	hard_hm	(F9.4)	ACIS hard (2.0-7.0 keV) - medium (1.2-2.0 keV) energy band photon flux hardness ratio	(master_source.hard_hm)	[""]	[]
#Column	hard_hm_lolim	(F9.4)	ACIS hard (2.0-7.0 keV) - medium (1.2-2.0 keV) energy band photon flux hardness ratio (68% lower confidence limit)	(master_source.hard_hm_lolim)	[""]	[]
#Column	hard_hm_hilim	(F9.4)	ACIS hard (2.0-7.0 keV) - medium (1.2-2.0 keV) energy band photon flux hardness ratio (68% upper confidence limit)	(master_source.hard_hm_hilim)	[""]	[]
#Column	acis_time	(F9.1)	Total livetime for all ACIS imaging observations contributing to the Master Sources Table record of the source	(master_source.acis_time)	["s"]	[]
separation	name	ra	dec	err_ellipse_r0	err_ellipse_r1	err_ellipse_ang	significance	likelihood_class	hard_hm	hard_hm_lolim	hard_hm_hilim	acis_time
    90.38	 2CXO J174544.6-290134	 17 45 44.70	-29 01 34.73	     0.72	     0.72	      0.0	     9.76	                TRUE	   0.9994	   0.9400	   1.0000	1709082.0
    90.61	 2CXO J174540.2-290158	 17 45 40.26	-29 01 58.72	     0.72	     0.72	      0.0	    20.07	                TRUE	   0.9994	   0.9688	   1.0000	2240266.2
    90.66	 2CXO J174542.8-285905	 17 45 42.84	-28 59 05.31	     0.73	     0.72	     47.0	    24.11	                TRUE	   0.9994	   0.9225	   1.0000	1848518.7
    90.82	 2CXO J174539.6-290158	 17 45 39.66	-29 01 58.83	     0.84	     0.75	     42.5	    31.82	                TRUE	   0.9994	   0.9313	   1.0000	2220883.9
    90.84	 2CXO J174533.1-290020	 17 45 33.14	-29 00 20.77	     0.73	     0.72	     81.0	    13.93	                TRUE	   0.9706	   0.9400	   0.9925	1747557.7
    90.88	 2CXO J174533.2-290008	 17 45 33.27	-29 00 08.92	     0.75	     0.75	    106.4	     8.61	                TRUE	   0.9994	   0.8314	   1.0000	1751565.6
    90.92	 2CXO J174533.5-285954	 17 45 33.59	-28 59 54.67	     0.73	     0.73	      0.0	    16.15	                TRUE	   0.8770	   0.7676	   0.9613	1750358.8
    90.98	 2CXO J174538.5-285859	 17 45 38.52	-28 58 59.37	     0.76	     0.75	     49.7	    10.01	                TRUE	   0.9994	   0.8176	   1.0000	2280305.0
    91.05	 2CXO J174533.3-290051	 17 45 33.34	-29 00 51.83	     0.72	     0.72	    169.8	    59.04	                TRUE	   0.9182	   0.8738	   0.9588	1747551.3
    91.21	 2CXO J174536.3-290145	 17 45 36.36	-29 01 45.52	     0.72	     0.72	      0.0	     8.28	                TRUE	   0.9994	   0.9638	   1.0000	1753799.9
    91.33	 2CXO J174545.7-285936	 17 45 45.78	-28 59 36.52	     0.74	     0.73	     96.8	    20.40	                TRUE	   0.8969	   0.7976	   0.9713	1720275.3
    91.75	 2CXO J174533.1-290046	 17 45 33.19	-29 00 46.67	     0.72	     0.71	     79.6	    33.54	                TRUE	   0.9706	   0.9425	   0.9925	1728051.2
    91.78	 2CXO J174546.3-290108	 17 45 46.33	-29 01 08.26	     0.73	     0.72	    105.8	    17.72	                TRUE	   0.9507	   0.8901	   0.9913	1759636.8
    92.22	 2CXO J174540.1-285855	 17 45 40.20	-28 58 55.95	     0.72	     0.72	     78.4	    12.00	                TRUE	   0.8357	   0.6415	   0.9650	2062263.1
    92.33	 2CXO J174534.1-290118	 17 45 34.16	-29 01 18.93	     0.72	     0.72	     31.1	     8.03	                TRUE	   0.9432	   0.9001	   0.9788	1708131.1
    92.33	 2CXO J174533.3-290056	 17 45 33.33	-29 00 56.09	     0.75	     0.74	     14.0	    68.14	                TRUE	   0.8332	   0.6977	   0.9425	1747551.3
    92.39	 2CXO J174538.2-285858	 17 45 38.24	-28 58 58.81	     0.73	     0.71	    178.9	    10.02	                TRUE	   0.9994	   0.9625	   1.0000	2198554.3
    92.48	 2CXO J174534.2-285935	 17 45 34.22	-28 59 35.85	     0.72	     0.72	    115.4	    19.43	                TRUE	   0.9994	   0.9500	   1.0000	1751324.8
    92.49	 2CXO J174538.8-285857	 17 45 38.82	-28 58 57.05	     0.80	     0.74	    125.9	    10.66	                TRUE	   0.9994	   0.9001	   1.0000	2235349.2
    92.50	 2CXO J174540.4-285855	 17 45 40.42	-28 58 55.79	     0.73	     0.72	     98.1	     9.75	                TRUE	   0.9994	   0.6615	   1.0000	2062263.1
    92.64	 2CXO J174533.4-285954	 17 45 33.45	-28 59 54.71	     0.75	     0.74	    144.8	    16.50	                TRUE	   0.9182	   0.8401	   0.9788	1750358.9
    92.68	 2CXO J174535.7-285914	 17 45 35.76	-28 59 14.43	     0.74	     0.74	     57.5	    14.27	                TRUE	   0.9994	   0.9026	   1.0000	1770846.6
    92.74	 2CXO J174539.9-285855	 17 45 39.97	-28 58 55.41	     0.75	     0.74	    176.8	     9.53	                TRUE	   0.9994	   0.6390	   1.0000	2165842.9
    93.18	 2CXO J174539.1-285855	 17 45 39.16	-28 58 55.68	     0.74	     0.73	    101.3	    12.09	                TRUE	   0.7670	   0.6352	   0.8813	2249017.2
    93.62	 2CXO J174545.3-290130	 17 45 45.36	-29 01 30.52	     0.77	     0.74	    140.1	    11.58	                TRUE	   0.7358	   0.6127	   0.8438	1709082.0
    94.15	 2CXO J174533.4-290106	 17 45 33.49	-29 01 06.84	     0.78	     0.75	     40.9	    92.03	                TRUE	   0.9994	   0.9051	   1.0000	1747523.4
    94.71	 2CXO J174535.7-285912	 17 45 35.74	-28 59 12.09	     0.79	     0.76	    111.8	    13.38	                TRUE	   0.9994	   0.8838	   1.0000	1770846.6
    94.90	 2CXO J174538.6-285855	 17 45 38.61	-28 58 55.13	     0.77	     0.75	    130.2	     8.52	                TRUE	   0.9994	   0.9463	   1.0000	2235349.2
    95.08	 2CXO J174532.8-290011	 17 45 32.90	-29 00 11.77	     0.72	     0.72	     29.7	     9.27	                TRUE	   0.9719	   0.9388	   0.9950	1751565.6
    95.09	 2CXO J174545.9-285933	 17 45 45.95	-28 59 33.24	     0.72	     0.72	      0.0	    18.11	                TRUE	   0.9606	   0.9238	   0.9888	1720275.3
    95.12	 2CXO J174536.6-285903	 17 45 36.68	-28 59 03.85	     0.71	     0.71	     49.2	    12.84	                TRUE	   0.9994	   0.9750	   1.0000	1899693.0
    95.14	 2CXO J174546.1-285936	 17 45 46.10	-28 59 36.01	     3.15	     1.43	    133.6	    16.85	                TRUE	   0.8432	   0.7364	   0.9263	1720275.3
    95.35	 2CXO J174537.9-290159	 17 45 37.97	-29 01 59.56	     0.74	     0.73	    168.0	    97.61	                TRUE	   0.9994	   0.9463	   1.0000	1976527.2
    95.47	 2CXO J174536.1-290149	 17 45 36.17	-29 01 49.00	     0.72	     0.72	      0.0	     9.72	                TRUE	   0.9744	   0.9488	   0.9925	1753799.9
    95.52	 2CXO J174532.8-290015	 17 45 32.82	-29 00 15.21	     0.72	     0.72	      0.0	     9.18	                TRUE	   0.9307	   0.8776	   0.9763	1747557.7
    95.63	 2CXO J174532.9-290005	 17 45 32.95	-29 00 05.93	     0.73	     0.72	    137.7	    10.22	                TRUE	   0.8345	   0.7402	   0.9225	1751565.6
    95.64	 2CXO J174546.8-285954	 17 45 46.87	-28 59 54.65	     0.77	     0.74	     56.8	    30.18	                TRUE	   0.9669	   0.9263	   0.9950	1759677.0
    95.81	 2CXO J174539.0-290203	 17 45 39.05	-29 02 03.08	     0.74	     0.73	    126.6	    41.38	                TRUE	   0.9994	   0.9138	   1.0000	2109134.0
    96.13	 2CXO J174540.5-285852	 17 45 40.57	-28 58 52.27	     0.73	     0.72	    114.0	    10.16	                TRUE	   0.9994	   0.9213	   1.0000	2005180.2
    96.20	 2CXO J174541.7-285854	 17 45 41.74	-28 58 54.59	     0.71	     0.71	      0.0	    16.65	                TRUE	         	         	         	1945159.2
    96.57	 2CXO J174538.4-290202	 17 45 38.48	-29 02 02.54	     0.73	     0.72	    130.0	    66.23	                TRUE	         	         	         	2109127.8
    96.74	 2CXO J174547.1-290054	 17 45 47.13	-29 00 54.67	     0.76	     0.74	    122.4	    16.55	                TRUE	   0.9994	   0.9038	   1.0000	1759636.8
    96.84	 2CXO J174543.4-290153	 17 45 43.48	-29 01 53.79	     0.74	     0.73	    154.1	    10.30	                TRUE	   0.9994	   0.8339	   1.0000	1727284.3
    96.92	 2CXO J174546.0-290124	 17 45 46.03	-29 01 24.80	     0.74	     0.73	    114.6	    15.61	                TRUE	   0.9994	   0.9263	   1.0000	1709082.0
    97.40	 2CXO J174539.0-285851	 17 45 39.08	-28 58 51.57	     0.72	     0.72	      1.5	     8.80	                TRUE	   0.9681	   0.9288	   0.9938	2217146.9
    97.41	 2CXO J174546.7-290110	 17 45 46.73	-29 01 10.29	     0.72	     0.72	      1.6	    15.32	                TRUE	   0.9994	   0.9413	   1.0000	1759636.8
    97.71	 2CXO J174541.5-285852	 17 45 41.58	-28 58 52.56	     0.72	     0.72	     86.9	    10.47	                TRUE	         	         	         	1945159.2
    97.77	 2CXO J174546.7-285944	 17 45 46.72	-28 59 44.89	     0.73	     0.73	    168.8	    30.01	                TRUE	   0.8032	   0.6240	   0.9325	1797875.1
    98.05	 2CXO J174541.8-285853	 17 45 41.85	-28 58 53.04	     2.13	     2.13	      0.0	    11.60	                TRUE	         	         	         	1863408.5
    98.38	 2CXO J174532.5-290039	 17 45 32.59	-29 00 39.23	     0.74	     0.74	     30.5	    13.13	                TRUE	   0.9994	   0.9350	   1.0000	1728051.2
    98.39	 2CXO J174543.4-285900	 17 45 43.44	-28 59 00.47	     0.71	     0.71	     78.0	    26.51	                TRUE	   0.9994	   0.9938	   1.0000	1770924.8
    98.60	 2CXO J174545.9-285927	 17 45 45.96	-28 59 27.51	     0.80	     0.76	     46.1	    18.62	                TRUE	   0.9994	   0.8826	   1.0000	1720275.3
    98.74	 2CXO J174547.2-290000	 17 45 47.26	-29 00 00.24	     0.71	     0.71	     90.0	    19.00	                TRUE	   0.9994	   0.9938	   1.0000	1788917.6
    98.80	 2CXO J174532.5-290036	 17 45 32.53	-29 00 36.44	     0.73	     0.72	     49.3	    11.61	                TRUE	   0.9994	   0.8726	   1.0000	1728051.2
    98.84	 2CXO J174540.2-285849	 17 45 40.21	-28 58 49.33	     0.73	     0.72	     54.9	     9.39	                TRUE	   0.9994	   0.9113	   1.0000	2048595.0
    98.88	 2CXO J174532.6-290047	 17 45 32.64	-29 00 47.39	     0.75	     0.73	    119.9	    18.24	                TRUE	         	         	         	1728051.2
    99.20	 2CXO J174533.2-290112	 17 45 33.27	-29 01 12.45	     0.73	     0.73	      0.0	    93.30	                TRUE	         	         	         	1747523.4
    99.28	 2CXO J174534.1-285926	 17 45 34.13	-28 59 26.07	     0.74	     0.73	    180.0	    16.51	                TRUE	   0.9194	   0.8438	   0.9775	1740228.2
    99.42	 2CXO J174538.4-285850	 17 45 38.44	-28 58 50.96	     0.72	     0.72	      0.0	     8.13	                TRUE	   0.9994	   0.9513	   1.0000	2189939.1
    99.54	 2CXO J174546.1-285928	 17 45 46.13	-28 59 28.78	     0.72	     0.72	     85.4	    15.73	                TRUE	   0.9994	   0.9688	   1.0000	1720275.3
    99.66	 2CXO J174532.7-290054	 17 45 32.71	-29 00 54.60	     0.73	     0.72	     85.5	    31.21	                TRUE	   0.9994	   0.8626	   1.0000	1747551.3
    99.97	 2CXO J174532.6-290051	 17 45 32.63	-29 00 51.83	     0.76	     0.74	    117.5	    21.88	                TRUE	   0.8807	   0.7514	   0.9713	1728051.2
   100.05	 2CXO J174538.9-290207	 17 45 38.95	-29 02 07.17	     0.73	     0.73	    130.8	    38.60	                TRUE	   0.9994	   0.9600	   1.0000	2109134.0
   100.12	 2CXO J174545.5-285919	 17 45 45.57	-28 59 19.23	     0.74	     0.74	     97.0	    19.36	                TRUE	   0.9994	   0.9663	   1.0000	1721241.5
   100.14	 2CXO J174547.4-290052	 17 45 47.44	-29 00 52.83	     0.77	     0.74	    103.8	    14.42	                TRUE	   0.8782	   0.7601	   0.9663	1759636.8
   100.19	 2CXO J174540.7-285848	 17 45 40.78	-28 58 48.43	     0.73	     0.72	    111.4	     9.40	                TRUE	         	         	         	2005180.2
   100.26	 2CXO J174539.5-285848	 17 45 39.54	-28 58 48.11	     0.73	     0.73	     80.8	    10.12	                TRUE	   0.8245	   0.6839	   0.9400	2124702.6
   100.48	 2CXO J174545.5-285917	 17 45 45.51	-28 59 17.90	     0.78	     0.75	    169.4	    19.49	                TRUE	   0.9994	   0.9288	   1.0000	1721241.5
   100.55	 2CXO J174542.1-290204	 17 45 42.17	-29 02 04.74	     0.73	     0.72	    162.4	     8.99	                TRUE	   0.9606	   0.9176	   0.9900	1852507.4
   100.65	 2CXO J174532.3-290028	 17 45 32.37	-29 00 29.00	     0.73	     0.73	    168.0	    10.33	                TRUE	   0.9994	   0.6440	   1.0000	1728051.2
   100.95	 2CXO J174538.7-285848	 17 45 38.76	-28 58 48.61	     0.74	     0.73	     83.6	     7.31	                TRUE	         	         	         	2235349.2
   101.02	 2CXO J174532.4-290048	 17 45 32.49	-29 00 48.25	     1.58	     1.00	     76.3	    17.31	                TRUE	   0.9994	   0.9151	   1.0000	1728051.2
   101.25	 2CXO J174545.2-290142	 17 45 45.28	-29 01 42.51	     0.73	     0.72	     95.1	     8.19	                TRUE	   0.9669	   0.9325	   0.9913	1709082.0
   101.40	 2CXO J174533.6-285930	 17 45 33.66	-28 59 30.82	     0.74	     0.73	     25.9	    19.04	                TRUE	   0.9731	   0.9588	   0.9875	1739259.0
   101.41	 2CXO J174533.0-290111	 17 45 33.07	-29 01 11.96	     1.76	     1.76	      0.0	    74.24	                TRUE	         	         	         	1747523.4
   101.51	 2CXO J174532.3-290042	 17 45 32.37	-29 00 42.09	     0.72	     0.71	     95.9	    13.51	                TRUE	   0.9432	   0.9026	   0.9788	1728051.2
   101.61	 2CXO J174537.6-290204	 17 45 37.61	-29 02 04.63	     0.73	     0.73	    153.3	   118.96	                TRUE	   0.9269	   0.8688	   0.9750	1886160.2
   101.78	 2CXO J174540.6-285846	 17 45 40.68	-28 58 46.72	     0.73	     0.73	     38.8	     8.72	                TRUE	         	         	         	2005180.2
   102.07	 2CXO J174540.5-285846	 17 45 40.52	-28 58 46.28	     0.74	     0.73	     73.8	     8.22	                TRUE	         	         	         	2005180.2
   102.14	 2CXO J174532.9-290110	 17 45 32.95	-29 01 10.57	     0.72	     0.72	      0.0	    64.29	                TRUE	         	         	         	1747523.4
   102.21	 2CXO J174543.2-285855	 17 45 43.27	-28 58 55.15	     0.77	     0.73	     56.2	    14.44	                TRUE	   0.8632	   0.7826	   0.9388	1809123.0
   102.36	 2CXO J174539.4-285846	 17 45 39.44	-28 58 46.09	     0.72	     0.72	      0.0	     9.42	                TRUE	   0.9994	   0.9788	   1.0000	2123736.4
   102.41	 2CXO J174538.8-290209	 17 45 38.86	-29 02 09.38	     0.77	     0.74	    134.2	    38.13	                TRUE	   0.9994	   0.9625	   1.0000	2109127.8
   102.61	 2CXO J174538.7-285847	 17 45 38.70	-28 58 47.05	     0.75	     0.75	      0.0	     8.29	                TRUE	         	         	         	2234383.0
   102.81	 2CXO J174547.6-290005	 17 45 47.68	-29 00 05.20	     0.72	     0.72	    178.3	    17.63	                TRUE	   0.9194	   0.8776	   0.9600	1788920.8
   102.95	 2CXO J174534.0-290134	 17 45 34.04	-29 01 34.62	     0.75	     0.75	      0.0	     5.19	                TRUE	   0.8282	   0.7352	   0.9101	1708124.9
   103.01	 2CXO J174542.6-290205	 17 45 42.65	-29 02 05.31	     0.73	     0.72	    131.7	     7.44	                TRUE	   0.9994	   0.9625	   1.0000	1788900.7
   103.16	 2CXO J174547.3-285949	 17 45 47.32	-28 59 49.23	     0.72	     0.72	      0.0	    24.69	                TRUE	   0.9606	   0.9238	   0.9888	1846622.2
   103.55	 2CXO J174534.2-285918	 17 45 34.23	-28 59 18.04	     0.73	     0.72	     22.7	    16.53	                TRUE	   0.6921	   0.4841	   0.8601	1751343.3
   103.55	 2CXO J174541.2-290210	 17 45 41.22	-29 02 10.53	     0.71	     0.71	      0.0	    32.41	                TRUE	   0.9919	   0.9863	   0.9950	1948246.7
   103.56	 2CXO J174540.3-285844	 17 45 40.38	-28 58 44.69	     0.72	     0.72	    141.1	     8.29	                TRUE	         	         	         	2004214.0
   103.61	 2CXO J174536.6-290202	 17 45 36.69	-29 02 02.01	     0.73	     0.72	     30.7	   182.29	                TRUE	   0.9157	   0.8089	   0.9888	1810220.6
   103.73	 2CXO J174538.5-285846	 17 45 38.55	-28 58 46.28	     0.73	     0.73	      0.0	     7.79	                TRUE	         	         	         	2234383.0
   103.74	 2CXO J174532.8-290110	 17 45 32.81	-29 01 10.30	     0.73	     0.73	      0.0	    53.50	                TRUE	         	         	         	1747523.4
   103.75	 2CXO J174543.4-290201	 17 45 43.46	-29 02 01.71	     0.76	     0.75	    177.8	     8.71	                TRUE	   0.9257	   0.8451	   0.9838	1709082.0
   103.87	 2CXO J174532.2-290049	 17 45 32.28	-29 00 49.07	     0.74	     0.73	     54.0	    15.74	                TRUE	   0.9994	   0.9001	   1.0000	1728051.2
   103.87	 2CXO J174547.3-290107	 17 45 47.37	-29 01 07.29	     0.74	     0.73	    140.2	    11.70	                TRUE	   0.9994	   0.9051	   1.0000	1759636.8
   104.35	 2CXO J174539.0-290211	 17 45 39.08	-29 02 11.74	     0.75	     0.74	    173.2	    30.47	                TRUE	   0.9994	   0.9113	   1.0000	2063723.9
   104.61	 2CXO J174532.2-290008	 17 45 32.21	-29 00 08.48	     0.77	     0.74	    173.8	     8.81	                TRUE	   0.9994	   0.8713	   1.0000	1751565.6
   104.68	 2CXO J174532.7-290109	 17 45 32.71	-29 01 09.47	     0.73	     0.72	     93.3	    48.62	                TRUE	         	         	         	1747523.4
   104.68	 2CXO J174544.3-290156	 17 45 44.31	-29 01 56.58	     0.74	     0.73	    125.3	    15.99	                TRUE	   0.9994	   0.9875	   1.0000	1709082.0
   104.79	 2CXO J174532.2-290053	 17 45 32.29	-29 00 53.59	     0.84	     0.84	      0.0	    17.57	                TRUE	   0.9994	   0.9413	   1.0000	1571916.1
   104.97	 2CXO J174538.5-285844	 17 45 38.59	-28 58 44.91	     0.72	     0.72	      0.0	     7.60	                TRUE	         	         	         	2234383.0
   104.99	 2CXO J174543.8-285855	 17 45 43.87	-28 58 55.99	     0.75	     0.74	     92.4	    17.34	                TRUE	   0.9994	   0.8863	   1.0000	1809122.8
   105.00	 2CXO J174532.8-290113	 17 45 32.80	-29 01 13.07	     0.92	     0.84	     29.4	    55.56	                TRUE	         	         	         	1709557.0
   105.17	 2CXO J174546.9-290122	 17 45 46.90	-29 01 22.53	     0.76	     0.74	    122.5	    12.03	                TRUE	   0.9282	   0.8451	   0.9863	1709082.0
   105.23	 2CXO J174546.7-290126	 17 45 46.73	-29 01 26.10	     0.77	     0.74	    142.4	     9.57	                TRUE	   0.9994	   0.8938	   1.0000	1709082.0
   105.28	 2CXO J174535.5-285900	 17 45 35.58	-28 59 00.59	     0.73	     0.71	      3.0	    11.78	                TRUE	         	         	         	1789048.9
   105.35	 2CXO J174536.5-290202	 17 45 36.50	-29 02 02.74	     0.72	     0.72	     86.3	   185.57	                TRUE	   0.9107	   0.8488	   0.9638	1810220.6
   105.40	 2CXO J174532.0-290012	 17 45 32.09	-29 00 12.34	     0.73	     0.72	    159.5	     8.70	                TRUE	   0.9994	   0.9101	   1.0000	1751565.6
   105.60	 2CXO J174533.5-290130	 17 45 33.56	-29 01 30.85	     0.74	     0.73	     14.1	   120.15	                TRUE	   0.9994	   0.3979	   1.0000	1747520.3
   105.65	 2CXO J174538.1-285845	 17 45 38.13	-28 58 45.51	     0.74	     0.73	    112.4	     6.07	                TRUE	   0.9994	   0.9176	   1.0000	2152632.2
   105.87	 2CXO J174540.6-285842	 17 45 40.66	-28 58 42.59	     1.47	     1.11	     29.1	     8.55	                TRUE	   0.9994	   0.8651	   1.0000	2004214.0
   106.23	 2CXO J174532.1-290054	 17 45 32.19	-29 00 54.49	     0.72	     0.72	      0.0	    24.53	                TRUE	   0.9694	   0.9375	   0.9925	1591416.2
   106.28	 2CXO J174532.2-285958	 17 45 32.26	-28 59 58.31	     0.73	     0.73	     91.6	    14.66	                TRUE	   0.9994	   0.9663	   1.0000	1789763.7
   106.40	 2CXO J174537.6-290209	 17 45 37.65	-29 02 09.82	     0.73	     0.72	    160.6	   103.34	                TRUE	   0.9994	   0.9113	   1.0000	1885896.4
   106.47	 2CXO J174547.3-285942	 17 45 47.36	-28 59 42.17	     0.72	     0.71	     88.4	    24.49	                TRUE	   0.9994	   0.9863	   1.0000	1846622.2
   106.50	 2CXO J174531.9-290021	 17 45 31.93	-29 00 21.90	     0.73	     0.72	    178.6	     8.50	                TRUE	   0.9994	   0.8601	   1.0000	1747557.7
   106.61	 2CXO J174535.2-290154	 17 45 35.24	-29 01 54.21	     0.73	     0.72	     44.3	     6.41	                TRUE	   0.9507	   0.9038	   0.9875	1708124.9
   106.63	 2CXO J174532.1-290051	 17 45 32.11	-29 00 51.84	     1.64	     1.64	      0.0	    15.85	                TRUE	   0.9044	   0.8201	   0.9650	1571916.1
   106.76	 2CXO J174532.9-285935	 17 45 32.95	-28 59 35.69	     0.74	     0.73	     79.6	    18.13	                TRUE	   0.9994	   0.7789	   1.0000	1750361.7
   106.89	 2CXO J174532.8-290117	 17 45 32.81	-29 01 17.39	     0.89	     0.78	    150.4	    58.62	                TRUE	         	         	         	1531687.9
   106.95	 2CXO J174534.8-290150	 17 45 34.88	-29 01 50.95	     0.73	     0.72	     35.7	     6.56	                TRUE	   0.9119	   0.8538	   0.9625	1708124.9
   107.18	 2CXO J174546.8-285928	 17 45 46.82	-28 59 28.34	     0.75	     0.73	     97.0	    17.87	                TRUE	   0.9544	   0.9038	   0.9900	1807220.5
   107.19	 2CXO J174545.0-285903	 17 45 45.02	-28 59 03.19	     0.76	     0.74	    117.3	    17.11	                TRUE	   0.9994	   0.9563	   1.0000	1725258.7
   107.38	 2CXO J174531.8-290038	 17 45 31.89	-29 00 38.98	     0.72	     0.71	     89.7	     9.62	                TRUE	   0.9994	   0.9738	   1.0000	1571916.1
   107.44	 2CXO J174532.5-290112	 17 45 32.57	-29 01 12.18	     0.73	     0.73	      0.0	    45.65	                TRUE	   0.9994	   0.8151	   1.0000	1709557.0
   108.37	 2CXO J174532.0-290056	 17 45 32.06	-29 00 56.26	     0.72	     0.72	      0.0	    16.65	                TRUE	   0.9994	   0.9313	   1.0000	1591416.2
   108.46	 2CXO J174532.1-290059	 17 45 32.13	-29 00 59.64	     1.01	     0.90	    100.1	    23.33	                TRUE	   0.9007	   0.7876	   0.9775	1747551.3
   108.51	 2CXO J174538.0-285842	 17 45 38.08	-28 58 42.72	     0.74	     0.74	     37.1	     5.87	                TRUE	   0.9057	   0.8351	   0.9613	2129112.6
   108.57	 2CXO J174535.7-285855	 17 45 35.76	-28 58 55.19	     0.73	     0.73	     87.7	     9.47	                TRUE	   0.8982	   0.8251	   0.9625	1846966.5
   108.60	 2CXO J174531.8-290016	 17 45 31.80	-29 00 16.90	     0.80	     0.73	    170.7	     7.74	                TRUE	   0.9994	   0.9588	   1.0000	1751565.6
   108.99	 2CXO J174532.6-290118	 17 45 32.68	-29 01 18.83	     0.71	     0.71	      4.0	    54.70	                TRUE	         	         	         	1531687.9
   109.00	 2CXO J174533.7-290138	 17 45 33.71	-29 01 38.77	     0.72	     0.72	      0.0	   125.64	                TRUE	         	         	         	1591385.2
   109.10	 2CXO J174531.9-290054	 17 45 31.97	-29 00 54.57	     0.71	     0.71	      0.0	    14.11	                TRUE	   0.9207	   0.8613	   0.9688	1591416.2
   109.20	 2CXO J174537.3-290211	 17 45 37.39	-29 02 11.68	     0.77	     0.74	    175.2	   118.52	                TRUE	   0.9419	   0.8738	   0.9900	1840463.4
   109.21	 2CXO J174532.7-290121	 17 45 32.76	-29 01 21.07	     0.74	     0.74	      0.0	    58.71	                TRUE	   0.9994	   0.5953	   1.0000	1531687.8
   109.22	 2CXO J174537.7-285843	 17 45 37.75	-28 58 43.15	     0.73	     0.73	      0.0	     6.01	                TRUE	   0.9994	   0.8926	   1.0000	2129112.6
   109.35	 2CXO J174531.7-290038	 17 45 31.74	-29 00 38.67	     0.72	     0.72	      0.0	     8.54	                TRUE	   0.9994	   0.9138	   1.0000	1571916.1
   109.45	 2CXO J174542.5-290212	 17 45 42.59	-29 02 12.35	     0.74	     0.73	    148.1	     5.70	                TRUE	   0.9994	   0.9225	   1.0000	1752496.9
   109.56	 2CXO J174542.2-285842	 17 45 42.25	-28 58 42.50	     0.75	     0.73	     28.5	    11.62	                TRUE	   0.9994	   0.9038	   1.0000	1828620.5
   109.56	 2CXO J174535.1-285859	 17 45 35.18	-28 58 59.01	     0.75	     0.73	     82.9	    10.82	                TRUE	         	         	         	1770849.7
   109.61	 2CXO J174536.7-285847	 17 45 36.72	-28 58 47.57	     0.75	     0.73	    106.6	     9.85	                TRUE	         	         	         	2002306.6
   109.70	 2CXO J174534.4-285906	 17 45 34.44	-28 59 06.69	     0.73	     0.73	    177.5	    14.07	                TRUE	   0.9994	   0.9575	   1.0000	1751340.2
   109.98	 2CXO J174532.0-285953	 17 45 32.07	-28 59 53.77	     0.74	     0.73	     62.9	    14.77	                TRUE	   0.9994	   0.9600	   1.0000	1789760.6
   109.99	 2CXO J174542.5-285843	 17 45 42.51	-28 58 43.04	     0.75	     0.73	     51.4	    13.56	                TRUE	   0.9582	   0.9101	   0.9938	1828620.5
   110.11	 2CXO J174536.0-285851	 17 45 36.08	-28 58 51.06	     0.73	     0.73	      0.0	    10.50	                TRUE	   0.9994	   0.9450	   1.0000	1880523.9
   110.29	 2CXO J174541.1-285838	 17 45 41.11	-28 58 38.76	     0.73	     0.73	     26.2	     8.11	                TRUE	   0.9994	   0.5041	   1.0000	1954815.2
   110.31	 2CXO J174539.7-285837	 17 45 39.70	-28 58 37.93	     0.76	     0.73	     16.2	     7.53	                TRUE	         	         	         	2062118.8
   110.42	 2CXO J174538.6-285839	 17 45 38.67	-28 58 39.20	     0.77	     0.74	     43.5	     8.56	                TRUE	   0.9994	   0.9550	   1.0000	2210863.4
   110.47	 2CXO J174542.4-290213	 17 45 42.50	-29 02 13.81	     0.73	     0.73	     16.3	     5.71	                TRUE	   0.9994	   0.9250	   1.0000	1752496.9
   110.55	 2CXO J174548.3-290046	 17 45 48.35	-29 00 46.53	     0.77	     0.73	     76.4	    10.21	                TRUE	   0.9994	   0.9650	   1.0000	1788890.0
   110.58	 2CXO J174538.7-290217	 17 45 38.76	-29 02 17.45	     0.83	     0.76	    120.0	    30.14	                TRUE	   0.9994	   0.9625	   1.0000	1972632.5
