#Column	separation	(F9.2)	Distance from master source to user source	(.separation)	["arcsec"]	[pos.angDistance]
#Column	name	(A22)	Source name in the format '2CXO Jhhmmss.s{+|-}ddmmss[X]'	(master_source.name)	[""]	[]
#Column	ra	(A12)	Source position, ICRS right ascension	(master_source.ra)	[""]	[pos.eq.ra;meta.main]
#Column	dec	(A11)	Source position, ICRS declination	(master_source.dec)	[""]	[pos.eq.dec;meta.main]
#Column	gal_l	(F9.5)	Source position, Galactic longitude (equinox J2000.0, epoch J2000.0)	(master_source.gal_l)	["deg"]	[pos.galactic.lon]
#Column	gal_b	(F9.5)	Source position, Galactic latitude (equinox J2000.0, epoch J2000.0)	(master_source.gal_b)	["deg"]	[pos.galactic.lat]
#Column	err_ellipse_r0	(F9.2)	Major radius of the 95% confidence level position error ellipse	(master_source.err_ellipse_r0)	["arcsec"]	[]
#Column	err_ellipse_r1	(F9.2)	Minor radius of the 95% confidence level position error ellipse	(master_source.err_ellipse_r1)	["arcsec"]	[]
#Column	err_ellipse_ang	(F9.1)	Position angle (ref. local true north) of the major axis of the 95% confidence level error ellipse	(master_source.err_ellipse_ang)	["deg"]	[]
#Column	significance	(F9.2)	Highest flux significance (S/N) across all stacked observations and energy bands	(master_source.significance)	[""]	[]
#Column	likelihood_class	(A20)	Highest detection likelihood classification across all stacked observations and energy bands	(master_source.likelihood_class)	[""]	[]
#Column	conf_flag	(A5)	Source may be confused (source regions overlap in one or more contributing stacked observations)	(master_source.conf_flag)	[""]	[]
#Column	extent_flag	(A5)	Source is extended, or deconvolved source extent is inconsistent with a point source at the 90% confidence level in one or more observations and energy bands	(master_source.extent_flag)	[""]	[]
#Column	flux_aper_h	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events; ACIS hard (2.0-7.0 keV) energy band	(master_source.flux_aper_h)	["erg/s/cm^2"]	[]
#Column	flux_aper_lolim_h	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% lower confidence limit); ACIS hard (2.0-7.0 keV) energy band	(master_source.flux_aper_lolim_h)	["erg/s/cm^2"]	[]
#Column	flux_aper_hilim_h	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% upper confidence limit); ACIS hard (2.0-7.0 keV) energy band	(master_source.flux_aper_hilim_h)	["erg/s/cm^2"]	[]
#Column	hard_hm	(F9.4)	ACIS hard (2.0-7.0 keV) - medium (1.2-2.0 keV) energy band photon flux hardness ratio	(master_source.hard_hm)	[""]	[]
#Column	hard_hm_lolim	(F9.4)	ACIS hard (2.0-7.0 keV) - medium (1.2-2.0 keV) energy band photon flux hardness ratio (68% lower confidence limit)	(master_source.hard_hm_lolim)	[""]	[]
#Column	hard_hm_hilim	(F9.4)	ACIS hard (2.0-7.0 keV) - medium (1.2-2.0 keV) energy band photon flux hardness ratio (68% upper confidence limit)	(master_source.hard_hm_hilim)	[""]	[]
#Column	acis_time	(F9.1)	Total livetime for all ACIS imaging observations contributing to the Master Sources Table record of the source	(master_source.acis_time)	["s"]	[]
separation	name	ra	dec	gal_l	gal_b	err_ellipse_r0	err_ellipse_r1	err_ellipse_ang	significance	likelihood_class	conf_flag	extent_flag	flux_aper_h	flux_aper_lolim_h	flux_aper_hilim_h	hard_hm	hard_hm_lolim	hard_hm_hilim	acis_time
    22.00	 2CXO J174540.3-290049	 17 45 40.35	-29 00 49.76	359.93971	 -0.05026	     0.71	     0.71	      0.0	    11.03	                TRUE	FALSE	 TRUE	3.875e-15	3.523e-15	4.227e-15	   0.9994	   0.9788	   1.0000	2432305.8
    22.45	 2CXO J174540.0-290005	 17 45 40.07	-29 00 05.70	359.94962	 -0.04301	     0.71	     0.71	      3.7	    41.30	                TRUE	FALSE	 TRUE	3.284e-15	2.864e-15	3.703e-15	   0.9994	   0.9838	   1.0000	2432305.8
    23.11	 2CXO J174538.9-290010	 17 45 38.94	-29 00 10.07	359.94644	 -0.04013	     0.82	     0.78	      9.5	    25.33	                TRUE	FALSE	 TRUE	1.261e-15	1.018e-15	1.504e-15	   0.9582	   0.9051	   0.9938	2443420.9
    23.45	 2CXO J174540.3-290005	 17 45 40.32	-29 00 05.00	359.95027	 -0.04370	     0.71	     0.71	      0.0	    18.22	                TRUE	FALSE	 TRUE	9.784e-15	9.262e-15	1.027e-14	   0.9869	   0.9763	   0.9963	2432305.8
    24.02	 2CXO J174539.4-290005	 17 45 39.46	-29 00 05.34	359.94856	 -0.04107	     0.90	     0.82	     41.3	     4.50	                TRUE	FALSE	 TRUE	6.887e-16	4.512e-16	9.144e-16	   0.9082	   0.7614	   0.9950	2432305.8
    24.65	 2CXO J174540.1-290052	 17 45 40.11	-29 00 52.78	359.93853	 -0.04994	     0.72	     0.72	     66.7	    25.18	                TRUE	FALSE	 TRUE	1.433e-15	1.149e-15	1.716e-15	   0.9294	   0.8701	   0.9763	2443420.9
    25.21	 2CXO J174539.6-290052	 17 45 39.67	-29 00 52.90	359.93767	 -0.04860	     1.61	     1.61	      0.0	    24.64	                TRUE	FALSE	 TRUE	1.147e-15	8.679e-16	1.412e-15	   0.9994	   0.9338	   1.0000	2443420.9
    25.40	 2CXO J174541.9-290032	 17 45 41.94	-29 00 32.80	359.94675	 -0.05275	     0.71	     0.71	      0.0	    11.10	                TRUE	FALSE	 TRUE	4.792e-15	4.183e-15	5.360e-15	   0.9994	   0.9738	   1.0000	1832669.3
    25.50	 2CXO J174541.8-290037	 17 45 41.84	-29 00 37.60	359.94542	 -0.05314	     0.71	     0.71	    167.9	    24.76	                TRUE	FALSE	 TRUE	2.067e-14	1.974e-14	2.155e-14	   0.9994	   0.9975	   1.0000	1956160.3
    26.03	 2CXO J174539.1-290004	 17 45 39.20	-29 00 04.59	359.94822	 -0.04013	     0.71	     0.71	      0.0	    25.16	                TRUE	FALSE	 TRUE	3.447e-15	2.983e-15	3.910e-15	   0.9994	   0.9725	   1.0000	2443420.9
    26.50	 2CXO J174538.4-290044	 17 45 38.42	-29 00 44.01	359.93740	 -0.04342	     0.72	     0.71	      0.6	    43.64	                TRUE	FALSE	 TRUE	1.841e-15	1.586e-15	2.079e-15	   0.9994	   0.9788	   1.0000	2346199.0
    27.41	 2CXO J174540.1-290055	 17 45 40.16	-29 00 55.52	359.93798	 -0.05051	     0.71	     0.71	      0.0	    38.51	                TRUE	FALSE	 TRUE	1.269e-14	1.201e-14	1.334e-14	   0.9944	   0.9875	   0.9988	2443420.9
    27.49	 2CXO J174540.6-290001	 17 45 40.62	-29 00 01.73	359.95160	 -0.04413	     0.71	     0.71	    166.9	    15.16	                TRUE	FALSE	 TRUE	2.136e-15	1.795e-15	2.454e-15	   0.9994	   0.9788	   1.0000	2432305.8
    27.74	 2CXO J174541.8-290042	 17 45 41.86	-29 00 42.15	359.94438	 -0.05386	     0.72	     0.72	    153.5	     8.53	                TRUE	FALSE	 TRUE	2.646e-15	2.243e-15	3.024e-15	   0.9781	   0.9538	   0.9963	1956160.3
    27.74	 2CXO J174537.9-290035	 17 45 37.99	-29 00 35.04	359.93871	 -0.04078	     0.73	     0.73	     95.8	    28.58	                TRUE	FALSE	FALSE	3.360e-16	6.503e-17	6.069e-16	   0.9994	   0.6852	   1.0000	1914101.1
    27.91	 2CXO J174540.5-290055	 17 45 40.53	-29 00 55.29	359.93874	 -0.05163	     0.72	     0.72	    168.8	    25.41	                TRUE	FALSE	 TRUE	2.648e-15	2.356e-15	2.940e-15	   0.9994	   0.9850	   1.0000	2443420.9
    28.18	 2CXO J174539.4-290055	 17 45 39.45	-29 00 55.26	359.93669	 -0.04826	     1.54	     1.54	      0.0	    23.27	                TRUE	FALSE	 TRUE	7.037e-16	4.808e-16	9.265e-16	   0.9994	   0.9450	   1.0000	2454535.9
    29.34	 2CXO J174538.7-290004	 17 45 38.71	-29 00 04.50	359.94733	 -0.03862	     0.74	     0.73	     84.4	    21.49	                TRUE	FALSE	 TRUE	1.738e-15	1.454e-15	2.022e-15	   0.9994	   0.9650	   1.0000	2426580.7
    32.12	 2CXO J174539.5-290059	 17 45 39.58	-29 00 59.70	359.93588	 -0.04930	     0.71	     0.71	      0.0	    22.11	                TRUE	FALSE	 TRUE	3.104e-15	2.782e-15	3.406e-15	   0.9619	   0.9400	   0.9825	2454532.8
    33.44	 2CXO J174538.3-290053	 17 45 38.38	-29 00 53.51	359.93507	 -0.04466	     0.73	     0.72	     97.0	    49.05	                TRUE	FALSE	 TRUE	6.974e-16	4.127e-16	9.678e-16	   0.9994	   0.8601	   1.0000	2167982.6
    33.57	 2CXO J174537.5-290033	 17 45 37.52	-29 00 33.78	359.93811	 -0.03913	     0.92	     0.75	     33.7	    35.08	                TRUE	FALSE	FALSE	7.103e-16	4.508e-16	9.699e-16	   0.9994	   0.8226	   1.0000	1773723.1
    33.80	 2CXO J174539.1-285956	 17 45 39.17	-28 59 56.33	359.95013	 -0.03886	     0.73	     0.73	    115.6	    23.35	                TRUE	FALSE	 TRUE	5.859e-16	4.034e-16	7.684e-16	   0.9994	   0.9263	   1.0000	2443423.8
    35.50	 2CXO J174537.9-290006	 17 45 37.91	-29 00 06.20	359.94540	 -0.03637	     0.74	     0.72	    173.0	    29.82	                TRUE	FALSE	FALSE	6.683e-16	3.402e-16	9.843e-16	   0.9432	   0.8663	   0.9925	2070353.0
    36.88	 2CXO J174537.5-290044	 17 45 37.52	-29 00 44.46	359.93558	 -0.04068	     0.73	     0.73	    132.5	    66.75	                TRUE	FALSE	FALSE	9.798e-16	7.278e-16	1.232e-15	   0.9994	   0.8951	   1.0000	1793223.3
    37.24	 2CXO J174540.1-285950	 17 45 40.13	-28 59 50.93	359.95324	 -0.04106	     0.73	     0.73	     96.2	    34.94	                TRUE	FALSE	 TRUE	4.683e-16	2.972e-16	6.395e-16	   0.9994	   0.8888	   1.0000	2509899.0
    38.28	 2CXO J174538.8-285953	 17 45 38.86	-28 59 53.10	359.95032	 -0.03744	     0.72	     0.72	     95.2	    30.52	                TRUE	FALSE	FALSE	1.644e-15	1.340e-15	1.930e-15	   0.9444	   0.8951	   0.9838	2487155.0
    38.34	 2CXO J174538.2-290058	 17 45 38.23	-29 00 58.25	359.93366	 -0.04489	     0.73	     0.73	      0.0	    59.19	                TRUE	FALSE	FALSE	6.408e-16	4.195e-16	8.506e-16	   0.9994	   0.9488	   1.0000	2100061.6
    39.91	 2CXO J174539.1-285949	 17 45 39.18	-28 59 49.84	359.95170	 -0.03796	     0.72	     0.72	      0.0	    32.23	                TRUE	FALSE	FALSE	1.726e-15	1.493e-15	1.943e-15	   0.9519	   0.9188	   0.9775	2521017.3
    40.32	 2CXO J174537.7-290001	 17 45 37.70	-29 00 01.95	359.94601	 -0.03510	     0.71	     0.71	    130.7	    23.48	                TRUE	FALSE	FALSE	1.062e-14	1.001e-14	1.119e-14	   0.9994	   0.9888	   1.0000	1919096.1
    40.83	 2CXO J174538.6-285951	 17 45 38.61	-28 59 51.88	359.95012	 -0.03646	     0.72	     0.72	     75.6	    29.97	                TRUE	FALSE	FALSE	7.191e-16	5.199e-16	9.182e-16	   0.9119	   0.8189	   0.9788	2441745.4
    41.05	 2CXO J174541.6-285952	 17 45 41.61	-28 59 52.69	359.95564	 -0.04593	     0.71	     0.71	     88.3	    37.67	                TRUE	FALSE	 TRUE	1.677e-14	1.605e-14	1.745e-14	   0.9994	   0.9950	   1.0000	2076163.0
    41.25	 2CXO J174539.3-285947	 17 45 39.33	-28 59 47.96	359.95242	 -0.03814	     0.72	     0.72	    173.5	    32.40	                TRUE	FALSE	FALSE	8.545e-16	6.283e-16	1.081e-15	   0.9482	   0.8888	   0.9888	2521014.1
    41.33	 2CXO J174542.1-285957	 17 45 42.13	-28 59 57.26	359.95553	 -0.04820	     0.72	     0.72	      0.0	    36.55	                TRUE	FALSE	 TRUE	1.672e-15	1.370e-15	1.974e-15	   0.9994	   0.9400	   1.0000	1873481.9
    41.33	 2CXO J174541.9-285955	 17 45 41.94	-28 59 55.20	359.95566	 -0.04731	     0.72	     0.72	     28.4	    37.29	                TRUE	FALSE	 TRUE	4.202e-15	3.743e-15	4.631e-15	   0.9994	   0.9713	   1.0000	1873485.0
